City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
214,saint-joseph,-21.3667,55.6167,293.71,73,18,4.69,RE,1723415847
215,siyabuswa,-25.1132,29.0445,289.7,12,57,2.94,ZA,1723415848
216,tyukalinsk,55.8732,72.1967,285.44,80,96,2.44,RU,1723415849
217,celestun,20.8667,-90.4,302.84,74,100,6.79,MX,1723415850
218,alaghsas,17.0187,8.0168,300.57,68,91,0.88,NE,1723415851
219,aasiaat,68.7098,-52.8699,276.42,96,79,2.8,GL,1723415852
220,mechanicville,42.9029,-73.6873,297.46,64,47,4.47,US,1723415787
221,lockhart,28.6194,-81.4426,299.2,89,20,3.09,US,1723415856
222,harper,4.375,-7.7169,297.65,89,100,4.65,LR,1723415857
223,pedregulho,-20.2569,-47.4767,286.93,26,6,2.49,BR,1723415858
224,khovd,48.0056,91.6419,292.69,41,100,2.11,MN,1723415859
225,aykhal,66.0,111.5,283.64,68,100,1.53,RU,1723415861
226,bubaque,11.2833,-15.8333,298.46,86,100,3.6,GW,1723415862
227,tuam,53.5167,-8.85,291.02,93,100,6.04,IE,1723415863
228,bodo,67.28,14.405,288.17,94,75,5.14,NO,1723415864
229,klaksvik,62.2266,-6.589,284.1,91,100,3.14,FO,1723415743
230,qamdo,31.1667,97.2333,276.14,63,12,1.28,CN,1723415866
231,antsiranana,-12.2787,49.2917,295.66,80,9,6.14,MG,1723415867
232,iskateley,67.6803,53.1512,287.14,68,98,3.66,RU,1723415868
233,severo-yeniseyskiy,60.3725,93.0408,282.34,97,55,1.98,RU,1723415870
234,codrington,-38.2667,141.9667,284.67,68,98,6.8,AU,1723415871
235,udachny,66.4167,112.4,284.5,59,93,1.36,RU,1723415872
236,barrouallie,13.2333,-61.2667,300.94,84,40,5.14,VC,1723415873
237,mbanza kongo,-6.267,14.2401,294.21,76,2,2.28,AO,1723415874
238,buta,2.7858,24.73,294.49,99,100,0.46,CD,1723415875
239,olyokminsk,60.3736,120.4264,293.29,54,65,1.44,RU,1723415876
240,mega,4.05,38.3,289.38,70,75,6.1,ET,1723415878
241,serenje,-13.2325,30.2352,286.63,40,0,1.56,ZM,1723415879
242,atafu village,-8.5421,-172.5159,301.78,74,13,8.08,TK,1723415880
243,north bend,43.4065,-124.2243,291.1,77,40,8.75,US,1723415881
244,talcahuano,-36.7167,-73.1167,286.97,72,0,4.63,CL,1723415882
245,tlahualilo de zaragoza,26.1167,-103.45,307.46,22,90,3.24,MX,1723415883
246,tura,25.5198,90.2201,297.15,97,57,2.26,IN,1723415884
247,coquimbo,-29.9533,-71.3436,287.0,88,0,3.09,CL,1723415607
248,cihuatlan,19.2366,-104.5651,303.97,70,75,5.14,MX,1723415887
249,kinarut,5.8231,116.0466,298.16,94,20,1.54,MY,1723415888
250,bedesa,8.9,40.7833,289.73,86,27,2.65,ET,1723415889
251,al kharijah,25.4514,30.5464,306.29,23,43,4.61,EG,1723415890
252,chimoio,-19.1164,33.4833,289.89,35,0,0.51,MZ,1723415891
253,dunedin,-45.8742,170.5036,280.82,72,47,5.81,NZ,1723415893
254,itoman,26.1247,127.6694,303.16,84,20,2.57,JP,1723415895
255,saint-francois,46.4154,3.9054,296.84,73,0,1.54,FR,1723415896
256,longboat key,27.4125,-82.659,303.71,71,0,3.09,US,1723415765
257,novyy turtkul',41.55,61.0167,301.17,31,92,3.04,UZ,1723415898
258,nalut,30.3333,10.85,302.03,25,0,4.16,LY,1723415899
259,isangel,-19.55,169.2667,297.21,73,75,5.66,VU,1723415900
260,luanda,-8.8368,13.2343,293.15,94,40,1.54,AO,1723415901
261,nieuw amsterdam,5.8833,-55.0833,303.16,70,20,5.14,SR,1723415903
262,la passe,45.5549,-0.8967,300.61,40,0,5.88,FR,1723415904
263,itacoatiara,-3.1431,-58.4442,301.75,48,7,1.53,BR,1723415905
264,kone,-21.0595,164.8658,296.11,70,100,2.99,NC,1723415906
265,vanimo,-2.6741,141.3028,300.1,82,89,2.16,PG,1723415907
266,ntoum,0.3833,9.7833,297.42,84,96,2.01,GA,1723415908
267,quepos,9.4236,-84.1652,300.17,83,82,1.88,CR,1723415909
268,sierra grande,-41.606,-65.3557,280.94,48,5,1.68,AR,1723415911
269,hsinchu,24.8036,120.9686,300.31,80,3,0.45,TW,1723415796
270,zhangatas,43.5667,69.75,296.97,37,0,3.44,KZ,1723415913
271,coahuayana de hidalgo,18.7,-103.6583,301.0,83,100,1.17,MX,1723415914
272,santa quiteria,-4.3319,-40.1567,301.02,47,27,3.3,BR,1723415915
273,siwa oasis,29.2041,25.5195,302.66,42,2,4.12,EG,1723415916
274,kolyvan',55.3053,82.7391,283.84,89,22,1.85,RU,1723415917
275,gutao,37.2025,112.1781,293.56,67,0,1.5,CN,1723415918
276,bayanhongor,46.7167,100.1167,285.27,60,33,1.58,MN,1723415919
277,cururupu,-1.8283,-44.8683,296.79,86,30,1.03,BR,1723415923
278,san jose de jachal,-30.2406,-68.7469,283.64,22,0,1.79,AR,1723415924
279,ketchikan,55.3422,-131.6461,294.41,56,0,5.66,US,1723415925
280,szentlorinc,46.0402,17.9872,298.48,45,25,1.3,HU,1723415926
281,nova sintra,14.8667,-24.7167,299.4,80,99,2.44,CV,1723415927
282,sinop,41.7711,34.8709,290.71,70,0,1.61,TR,1723415928
283,crucecita,-28.95,-58.9833,285.69,34,19,3.45,AR,1723415929
284,cova figueira,14.8905,-24.2934,293.46,81,84,1.51,CV,1723415930
285,puerto baquerizo moreno,-0.9,-89.6,297.7,65,40,6.17,EC,1723415757
286,neverkino,52.7854,46.7417,288.03,88,97,5.07,RU,1723415934
287,santa cruz,-17.8,-63.1667,295.85,37,17,4.12,BO,1723415111
288,escanaba,45.7453,-87.0646,295.13,60,75,4.63,US,1723415936
289,san patricio,28.017,-97.5169,306.62,53,3,7.22,US,1723415937
290,singrauli,24.1997,82.6753,297.23,90,92,1.08,IN,1723415938
291,egilsstadir,65.2653,-14.3948,282.1,87,75,2.57,IS,1723415939
292,puerto aysen,-45.4,-72.7,277.63,99,100,1.87,CL,1723415941
293,gemena,3.25,19.7667,294.05,98,74,0.86,CD,1723415942
